level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,785.84,742.6,5.8
paper,PreVerify vs Verify,184.17,186.99,-1.5
paper,Adapt vs Verify,189.11,186.99,1.1
paper,Ext / Extract (separate),60.9,,
L2,PreSign vs Sign,962.31,916.05,5.0
L2,PreVerify vs Verify,205.96,199.67,3.1
L2,Adapt vs Verify,211.91,199.67,6.1
L2,Ext / Extract (separate),71.39,,
L3,PreSign vs Sign,1308.15,1274.51,2.6
L3,PreVerify vs Verify,279.48,270.95,3.1
L3,Adapt vs Verify,288.02,270.95,6.3
L3,Ext / Extract (separate),92.34,,
L5,PreSign vs Sign,1679.12,1609.72,4.3
L5,PreVerify vs Verify,405.09,392.28,3.3
L5,Adapt vs Verify,419.09,392.28,6.8
L5,Ext / Extract (separate),151.03,,
