level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,50.2,2.41
paper,4,4,60,KeyGen,61.51,4.58
paper,4,4,60,Sign,633.05,22.31
paper,4,4,60,Verify,153.77,7.76
paper,4,4,60,PreSign,655.76,35.39
paper,4,4,60,PreVerify,155.43,3.64
paper,4,4,60,Adapt,161.39,6.44
paper,4,4,60,Ext / Extract,51.15,1.48
L2,4,4,39,Setup,47.84,2.46
L2,4,4,39,KeyGen,60.1,1.67
L2,4,4,39,Sign,710.98,23.03
L2,4,4,39,Verify,156.91,12.52
L2,4,4,39,PreSign,749.07,37.7
L2,4,4,39,PreVerify,155.56,5.44
L2,4,4,39,Adapt,160.47,5.1
L2,4,4,39,Ext / Extract,51.61,2.09
L3,6,5,49,Setup,92.83,4.89
L3,6,5,49,KeyGen,92.98,2.18
L3,6,5,49,Sign,1072.75,35.19
L3,6,5,49,Verify,231.35,8.23
L3,6,5,49,PreSign,1122.6,41.69
L3,6,5,49,PreVerify,242.9,7.98
L3,6,5,49,Adapt,249.11,6.38
L3,6,5,49,Ext / Extract,82.47,2.45
L5,8,7,60,Setup,183.45,14.58
L5,8,7,60,KeyGen,136.2,4.07
L5,8,7,60,Sign,1350.03,47.31
L5,8,7,60,Verify,357.62,17.69
L5,8,7,60,PreSign,1474.9,77.39
L5,8,7,60,PreVerify,369.17,14.43
L5,8,7,60,Adapt,360.38,22.68
L5,8,7,60,Ext / Extract,127.38,10.99
