level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,22.07,0.25
paper,4,4,60,KeyGen,30.09,0.2
paper,4,4,60,Sign,302.13,15.52
paper,4,4,60,Verify,70.99,0.07
paper,4,4,60,PreSign,306.14,7.89
paper,4,4,60,PreVerify,73.07,0.06
paper,4,4,60,Adapt,75.11,0.09
paper,4,4,60,Ext,25.13,0.03
L2,4,4,39,Setup,22.97,0.49
L2,4,4,39,KeyGen,28.41,0.04
L2,4,4,39,Sign,323.35,17.97
L2,4,4,39,Verify,69.19,0.2
L2,4,4,39,PreSign,339.16,10.62
L2,4,4,39,PreVerify,71.52,0.23
L2,4,4,39,Adapt,74.44,0.5
L2,4,4,39,Ext,24.33,0.05
L3,6,5,49,Setup,41.61,1.05
L3,6,5,49,KeyGen,43.56,0.03
L3,6,5,49,Sign,493.15,22.51
L3,6,5,49,Verify,106.9,0.36
L3,6,5,49,PreSign,514.14,26.23
L3,6,5,49,PreVerify,109.7,0.19
L3,6,5,49,Adapt,112.59,0.13
L3,6,5,49,Ext,38.24,0.12
L5,8,7,60,Setup,77.24,1.01
L5,8,7,60,KeyGen,61.89,0.57
L5,8,7,60,Sign,588.08,17.16
L5,8,7,60,Verify,142.19,1.29
L5,8,7,60,PreSign,607.3,21.95
L5,8,7,60,PreVerify,148.79,0.33
L5,8,7,60,Adapt,150.72,1.52
L5,8,7,60,Ext,52.42,0.1
