level,attempts,base_sign_calls,las_presign_calls
paper,1,724,736
paper,2,462,454
paper,3,315,282
paper,4,169,194
paper,5,124,113
paper,6,75,91
paper,7,52,43
paper,8,30,22
paper,9,24,25
paper,10,6,13
paper,11,6,12
paper,12,7,8
paper,13,3,4
paper,14,0,0
paper,15,1,2
paper,16,0,1
paper,17,0,0
paper,18,1,0
paper,19,1,0
L2,1,711,701
L2,2,454,455
L2,3,327,296
L2,4,182,168
L2,5,118,159
L2,6,65,91
L2,7,53,50
L2,8,23,37
L2,9,19,11
L2,10,11,14
L2,11,21,4
L2,12,4,7
L2,13,1,1
L2,14,6,0
L2,15,1,1
L2,16,1,3
L2,17,2,0
L2,18,1,0
L2,19,0,1
L2,20,0,0
L2,21,0,1
L3,1,745,693
L3,2,479,454
L3,3,273,297
L3,4,199,223
L3,5,117,123
L3,6,61,82
L3,7,40,50
L3,8,32,26
L3,9,20,15
L3,10,15,12
L3,11,4,14
L3,12,6,4
L3,13,3,4
L3,14,2,0
L3,15,1,2
L3,16,0,0
L3,17,1,0
L3,18,0,0
L3,19,0,0
L3,20,1,1
L3,21,1,0
L5,1,759,735
L5,2,480,495
L5,3,265,300
L5,4,184,157
L5,5,111,109
L5,6,75,74
L5,7,42,51
L5,8,33,28
L5,9,15,23
L5,10,9,11
L5,11,10,7
L5,12,3,3
L5,13,5,4
L5,14,3,0
L5,15,2,2
L5,16,3,1
L5,17,1,0
